OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
Halvansuo;635898;6853199;Punkaharju;954;19610101;1961;01;01;3635000;6855000;-2.4;-1.4;-3.9;5;203;-999
Halvansuo;635898;6853199;Punkaharju;954;19610102;1961;01;02;3635000;6855000;-1.8;-0.9;-2.1;2;186;5.41
Halvansuo;635898;6853199;Punkaharju;954;19610103;1961;01;03;3635000;6855000;-3.1;-1.7;-4.8;0;218;4.65
Halvansuo;635898;6853199;Punkaharju;954;19610104;1961;01;04;3635000;6855000;-1.8;-1.1;-4;0;229;4.93
Halvansuo;635898;6853199;Punkaharju;954;19610105;1961;01;05;3635000;6855000;0.3;0.9;-1.1;2;233;6.17
Halvansuo;635898;6853199;Punkaharju;954;19610106;1961;01;06;3635000;6855000;0;1.9;0;6;234;6.12
Halvansuo;635898;6853199;Punkaharju;954;19610107;1961;01;07;3635000;6855000;-1.2;0.4;-3.2;0;255;5.2
Halvansuo;635898;6853199;Punkaharju;954;19610108;1961;01;08;3635000;6855000;-0.9;-0.5;-1.4;1;247;5.5
Halvansuo;635898;6853199;Punkaharju;954;19610109;1961;01;09;3635000;6855000;-3;-0.9;-3.4;6;257;5.09
Halvansuo;635898;6853199;Punkaharju;954;19610110;1961;01;10;3635000;6855000;-8.2;-3.2;-18.7;1;378;2.44
Halvansuo;635898;6853199;Punkaharju;954;19610111;1961;01;11;3635000;6855000;-2.6;0.4;-13.4;4;295;5.47
Halvansuo;635898;6853199;Punkaharju;954;19610112;1961;01;12;3635000;6855000;-2.8;-0.1;-6.3;0;276;4.9
Halvansuo;635898;6853199;Punkaharju;954;19610113;1961;01;13;3635000;6855000;-3.6;-1.1;-8.2;6;311;4.51
Halvansuo;635898;6853199;Punkaharju;954;19610114;1961;01;14;3635000;6855000;-2.2;-1.3;-3.4;1;290;4.89
Halvansuo;635898;6853199;Punkaharju;954;19610115;1961;01;15;3635000;6855000;-3.5;-0.6;-2.8;4;357;4.81
Halvansuo;635898;6853199;Punkaharju;954;19610116;1961;01;16;3635000;6855000;-12.2;-1.9;-16.4;0;566;2.19
Halvansuo;635898;6853199;Punkaharju;954;19610117;1961;01;17;3635000;6855000;-19.5;-15.5;-26.9;0;543;0.94
Halvansuo;635898;6853199;Punkaharju;954;19610118;1961;01;18;3635000;6855000;-11.7;-6.8;-27.7;0;343;2.15
Halvansuo;635898;6853199;Punkaharju;954;19610119;1961;01;19;3635000;6855000;-6.2;-5.1;-7.5;0;339;3.79
Halvansuo;635898;6853199;Punkaharju;954;19610120;1961;01;20;3635000;6855000;-5.9;-5.1;-6.7;0;450;3.88
Halvansuo;635898;6853199;Punkaharju;954;19610121;1961;01;21;3635000;6855000;-8.8;-5.4;-10.6;0;409;3.11
Halvansuo;635898;6853199;Punkaharju;954;19610122;1961;01;22;3635000;6855000;-15.2;-8.8;-23.4;0;692;1.58
Halvansuo;635898;6853199;Punkaharju;954;19610123;1961;01;23;3635000;6855000;-10.9;-7.4;-18.3;0;656;2.77
Halvansuo;635898;6853199;Punkaharju;954;19610124;1961;01;24;3635000;6855000;-13.4;-8.1;-16.7;0;761;1.67
Halvansuo;635898;6853199;Punkaharju;954;19610125;1961;01;25;3635000;6855000;-13;-10.8;-18.2;0;539;2.05
Halvansuo;635898;6853199;Punkaharju;954;19610126;1961;01;26;3635000;6855000;-9;-7.9;-12.1;0;659;2.6
Halvansuo;635898;6853199;Punkaharju;954;19610127;1961;01;27;3635000;6855000;-5.9;-4.2;-9;1;643;3.67
Halvansuo;635898;6853199;Punkaharju;954;19610128;1961;01;28;3635000;6855000;-3.4;-0.8;-5.9;2;517;4.59
Halvansuo;635898;6853199;Punkaharju;954;19610129;1961;01;29;3635000;6855000;-1.1;-0.6;-3.3;1;553;4.84
Halvansuo;635898;6853199;Punkaharju;954;19610130;1961;01;30;3635000;6855000;0.5;1.5;-2.2;10;533;6.21
Halvansuo;635898;6853199;Punkaharju;954;19610131;1961;01;31;3635000;6855000;-0.2;1.4;-2.5;2;507;5.78
Halvansuo;635898;6853199;Punkaharju;954;19610201;1961;02;01;3635000;6855000;-5.9;-2.3;-7.1;2;536;3.55
