OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
Kuonanjoki;614265;6874542;Kerimäki;1046;19610101;1961;01;01;3615000;6875000;-2.7;-1.9;-4.1;5;201;-999
Kuonanjoki;614265;6874542;Kerimäki;1046;19610102;1961;01;02;3615000;6875000;-2.2;-1.2;-2.7;2;187;5.28
Kuonanjoki;614265;6874542;Kerimäki;1046;19610103;1961;01;03;3615000;6875000;-3.1;-1.8;-4.9;0;217;4.72
Kuonanjoki;614265;6874542;Kerimäki;1046;19610104;1961;01;04;3615000;6875000;-2;-1.4;-3.7;1;226;4.83
Kuonanjoki;614265;6874542;Kerimäki;1046;19610105;1961;01;05;3615000;6875000;0.1;0.8;-1.4;2;232;6.13
Kuonanjoki;614265;6874542;Kerimäki;1046;19610106;1961;01;06;3615000;6875000;-0.4;1.6;-0.4;4;235;6.01
Kuonanjoki;614265;6874542;Kerimäki;1046;19610107;1961;01;07;3615000;6875000;-1.6;0;-3.9;1;254;5.12
Kuonanjoki;614265;6874542;Kerimäki;1046;19610108;1961;01;08;3615000;6875000;-1.1;-0.7;-1.6;1;247;5.51
Kuonanjoki;614265;6874542;Kerimäki;1046;19610109;1961;01;09;3615000;6875000;-4.3;-0.9;-5.2;4;266;4.73
Kuonanjoki;614265;6874542;Kerimäki;1046;19610110;1961;01;10;3615000;6875000;-8.9;-4.5;-19.4;0;383;2.35
Kuonanjoki;614265;6874542;Kerimäki;1046;19610111;1961;01;11;3615000;6875000;-2.9;0.5;-14.3;3;297;5.44
Kuonanjoki;614265;6874542;Kerimäki;1046;19610112;1961;01;12;3615000;6875000;-3.4;-0.3;-7.6;0;285;4.68
Kuonanjoki;614265;6874542;Kerimäki;1046;19610113;1961;01;13;3615000;6875000;-3.6;-1.1;-8.6;7;318;4.52
Kuonanjoki;614265;6874542;Kerimäki;1046;19610114;1961;01;14;3615000;6875000;-2.4;-1.3;-3.5;0;298;4.82
Kuonanjoki;614265;6874542;Kerimäki;1046;19610115;1961;01;15;3615000;6875000;-3.8;-0.6;-3.2;4;369;4.75
Kuonanjoki;614265;6874542;Kerimäki;1046;19610116;1961;01;16;3615000;6875000;-13.3;-2.4;-17.5;0;576;2.05
Kuonanjoki;614265;6874542;Kerimäki;1046;19610117;1961;01;17;3615000;6875000;-20;-15.9;-27.6;0;553;0.91
Kuonanjoki;614265;6874542;Kerimäki;1046;19610118;1961;01;18;3615000;6875000;-11.3;-6.6;-27.8;0;357;2.47
Kuonanjoki;614265;6874542;Kerimäki;1046;19610119;1961;01;19;3615000;6875000;-5.9;-5;-7.1;0;355;3.98
Kuonanjoki;614265;6874542;Kerimäki;1046;19610120;1961;01;20;3615000;6875000;-5.7;-4.9;-6.5;0;449;3.93
Kuonanjoki;614265;6874542;Kerimäki;1046;19610121;1961;01;21;3615000;6875000;-8.8;-5.3;-10.2;0;438;3.15
Kuonanjoki;614265;6874542;Kerimäki;1046;19610122;1961;01;22;3615000;6875000;-13.9;-8.4;-22.2;0;681;1.8
Kuonanjoki;614265;6874542;Kerimäki;1046;19610123;1961;01;23;3615000;6875000;-11.2;-7.5;-17.4;0;679;2.75
Kuonanjoki;614265;6874542;Kerimäki;1046;19610124;1961;01;24;3615000;6875000;-13.7;-8.3;-16.9;0;798;1.65
Kuonanjoki;614265;6874542;Kerimäki;1046;19610125;1961;01;25;3615000;6875000;-13.2;-10.7;-18.7;0;578;2.05
Kuonanjoki;614265;6874542;Kerimäki;1046;19610126;1961;01;26;3615000;6875000;-9.1;-7.8;-12.6;0;691;2.67
Kuonanjoki;614265;6874542;Kerimäki;1046;19610127;1961;01;27;3615000;6875000;-6.1;-4.3;-9.1;1;629;3.69
Kuonanjoki;614265;6874542;Kerimäki;1046;19610128;1961;01;28;3615000;6875000;-3.4;-1;-5.8;2;539;4.59
Kuonanjoki;614265;6874542;Kerimäki;1046;19610129;1961;01;29;3615000;6875000;-1.2;-0.7;-3.8;1;600;4.89
Kuonanjoki;614265;6874542;Kerimäki;1046;19610130;1961;01;30;3615000;6875000;0.3;1.4;-2.7;10;564;6.2
Kuonanjoki;614265;6874542;Kerimäki;1046;19610131;1961;01;31;3615000;6875000;-0.6;1.2;-3.1;2;530;5.66
Kuonanjoki;614265;6874542;Kerimäki;1046;19610201;1961;02;01;3615000;6875000;-6.4;-2.9;-7.9;1;567;3.47
Kuonanjoki;614265;6874542;Kerimäki;1046;19610202;1961;02;02;3615000;6875000;-3.6;-1.5;-7.9;2;743;4.44
Kuonanjoki;614265;6874542;Kerimäki;1046;19610203;1961;02;03;3615000;6875000;-1;0;-1.7;1;600;5.76
Kuonanjoki;614265;6874542;Kerimäki;1046;19610204;1961;02;04;3615000;6875000;-2.9;-0.6;-5;8;760;4.87
Kuonanjoki;614265;6874542;Kerimäki;1046;19610205;1961;02;05;3615000;6875000;-7.5;-4.2;-7.8;1;811;3.35
Kuonanjoki;614265;6874542;Kerimäki;1046;19610206;1961;02;06;3615000;6875000;-10.9;-7.1;-18;0;1570;1.89
Kuonanjoki;614265;6874542;Kerimäki;1046;19610207;1961;02;07;3615000;6875000;-5.7;-2.6;-16.1;0;677;3.9
Kuonanjoki;614265;6874542;Kerimäki;1046;19610208;1961;02;08;3615000;6875000;-2.5;0;-4.2;1;738;4.75
Kuonanjoki;614265;6874542;Kerimäki;1046;19610209;1961;02;09;3615000;6875000;-4;0.1;-6.8;1;1528;4.19
Kuonanjoki;614265;6874542;Kerimäki;1046;19610210;1961;02;10;3615000;6875000;-6.7;-3.9;-8.8;0;1367;3.25
Kuonanjoki;614265;6874542;Kerimäki;1046;19610211;1961;02;11;3615000;6875000;-3.6;-0.6;-11.2;1;778;4.24
Kuonanjoki;614265;6874542;Kerimäki;1046;19610212;1961;02;12;3615000;6875000;-1.2;0.4;-2.3;0;712;5.78
Kuonanjoki;614265;6874542;Kerimäki;1046;19610213;1961;02;13;3615000;6875000;-5.2;-0.9;-11.7;0;1593;3.59
Kuonanjoki;614265;6874542;Kerimäki;1046;19610214;1961;02;14;3615000;6875000;-2.4;0.9;-16.9;5;922;4.77
Kuonanjoki;614265;6874542;Kerimäki;1046;19610215;1961;02;15;3615000;6875000;-1.1;2.7;-2.8;0;1830;5.12
Kuonanjoki;614265;6874542;Kerimäki;1046;19610216;1961;02;16;3615000;6875000;-2.9;-0.6;-11.4;0;1151;4.09
Kuonanjoki;614265;6874542;Kerimäki;1046;19610217;1961;02;17;3615000;6875000;0.6;1.8;-1.9;0;901;5.92
