OmaTunniste;OmaIta;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
1;3625000;6865000;Kerimaki;1000;19810101;1981;1;1;3625000;6865000;-3.1;-1.2;-3.7;0.0;375.0;4.63;0.0;0.0
1;3625000;6865000;Kerimaki;1000;19810102;1981;1;2;3625000;6865000;-7.4;-2.6;-10.8;0.0;413.0;3.01;0.0;0.0
1;3625000;6865000;Kerimaki;1000;19810103;1981;1;3;3625000;6865000;-10.7;-7.9;-14.6;1.0;435.0;2.53;0.0;1.0
1;3625000;6865000;Kerimaki;1000;19810104;1981;1;4;3625000;6865000;-12.6;-8.2;-16.7;0.0;535.0;2.26;0.0;1.0
1;3625000;6865000;Kerimaki;1000;19810105;1981;1;5;3625000;6865000;-17.2;-14.6;-18.4;0.0;643.0;1.38;0.0;1.0
1;3625000;6865000;Kerimaki;1000;19810106;1981;1;6;3625000;6865000;-22.6;-15.9;-25.5;0.0;707.0;0.78;0.0;1.0
1;3625000;6865000;Kerimaki;1000;19810107;1981;1;7;3625000;6865000;-22.3;-18.1;-28.1;0.0;630.0;0.81;0.0;1.0
1;3625000;6865000;Kerimaki;1000;19810108;1981;1;8;3625000;6865000;-9.8;-5.0;-22.3;2.0;556.0;2.58;0.0;3.0
1;3625000;6865000;Kerimaki;1000;19810109;1981;1;9;3625000;6865000;-1.9;-0.1;-4.8;8.0;519.0;4.9;0.0;11.0
1;3625000;6865000;Kerimaki;1000;19810110;1981;1;10;3625000;6865000;-2.4;0.2;-2.6;0.0;509.0;5.02;0.0;11.0
1;3625000;6865000;Kerimaki;1000;19810111;1981;1;11;3625000;6865000;-6.7;-2.6;-13.7;0.0;777.0;2.99;0.0;11.0
1;3625000;6865000;Kerimaki;1000;19810112;1981;1;12;3625000;6865000;-2.4;-0.2;-8.5;1.0;594.0;4.68;0.0;12.0
1;3625000;6865000;Kerimaki;1000;19810113;1981;1;13;3625000;6865000;-4.0;-0.4;-5.6;5.0;606.0;3.99;0.0;17.0
1;3625000;6865000;Kerimaki;1000;19810114;1981;1;14;3625000;6865000;-5.6;-4.1;-9.7;1.0;771.0;3.58;0.0;18.0
1;3625000;6865000;Kerimaki;1000;19810115;1981;1;15;3625000;6865000;-5.3;-3.7;-6.8;4.0;638.0;3.31;0.0;22.0
1;3625000;6865000;Kerimaki;1000;19810116;1981;1;16;3625000;6865000;-4.6;-3.2;-6.6;1.0;654.0;3.9;0.0;23.0
1;3625000;6865000;Kerimaki;1000;19810117;1981;1;17;3625000;6865000;-3.3;-1.3;-5.2;3.0;641.0;4.5;0.0;26.0
1;3625000;6865000;Kerimaki;1000;19810118;1981;1;18;3625000;6865000;-8.0;-2.0;-14.0;0.0;1017.0;3.08;0.0;26.0
1;3625000;6865000;Kerimaki;1000;19810119;1981;1;19;3625000;6865000;-8.1;-4.9;-12.5;0.0;746.0;3.16;0.0;26.0
1;3625000;6865000;Kerimaki;1000;19810120;1981;1;20;3625000;6865000;-8.4;-6.4;-9.9;2.0;936.0;2.87;0.0;28.0
1;3625000;6865000;Kerimaki;1000;19810121;1981;1;21;3625000;6865000;-6.1;-4.9;-10.7;0.0;849.0;3.47;0.0;28.0
1;3625000;6865000;Kerimaki;1000;19810122;1981;1;22;3625000;6865000;-5.4;-4.6;-7.8;1.0;825.0;3.67;0.0;29.0
1;3625000;6865000;Kerimaki;1000;19810123;1981;1;23;3625000;6865000;-2.0;-1.0;-4.7;0.0;707.0;4.99;0.0;29.0
1;3625000;6865000;Kerimaki;1000;19810124;1981;1;24;3625000;6865000;0.5;1.1;-1.8;0.0;813.0;6.09;0.0;29.0
1;3625000;6865000;Kerimaki;1000;19810125;1981;1;25;3625000;6865000;0.1;2.2;0.2;2.0;955.0;5.7;0.0;31.0
1;3625000;6865000;Kerimaki;1000;19810126;1981;1;26;3625000;6865000;-9.0;0.6;-14.7;0.0;1670.0;2.66;0.0;31.0
