OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa
Sorvasranta;628871;6846654;Punkaharju;907;19610101;1961;01;01;3625000;6845000;-2.3;-1.3;-3.8;4;220;-999
Sorvasranta;628871;6846654;Punkaharju;907;19610102;1961;01;02;3625000;6845000;-1.8;-0.8;-2;2;204;5.39
Sorvasranta;628871;6846654;Punkaharju;907;19610103;1961;01;03;3625000;6845000;-3.1;-1.6;-4.7;0;236;4.68
Sorvasranta;628871;6846654;Punkaharju;907;19610104;1961;01;04;3625000;6845000;-1.9;-1;-4.2;0;246;4.93
Sorvasranta;628871;6846654;Punkaharju;907;19610105;1961;01;05;3625000;6845000;0.2;0.8;-1;1;251;6.18
Sorvasranta;628871;6846654;Punkaharju;907;19610106;1961;01;06;3625000;6845000;0;1.8;-0.1;6;254;6.1
Sorvasranta;628871;6846654;Punkaharju;907;19610107;1961;01;07;3625000;6845000;-1.1;0.3;-3;0;272;5.22
Sorvasranta;628871;6846654;Punkaharju;907;19610108;1961;01;08;3625000;6845000;-0.8;-0.4;-1.2;1;264;5.53
Sorvasranta;628871;6846654;Punkaharju;907;19610109;1961;01;09;3625000;6845000;-2.7;-0.6;-3.2;6;274;5.05
Sorvasranta;628871;6846654;Punkaharju;907;19610110;1961;01;10;3625000;6845000;-8.1;-2.9;-17.9;1;406;2.51
Sorvasranta;628871;6846654;Punkaharju;907;19610111;1961;01;11;3625000;6845000;-2.2;0.5;-12;4;313;5.52
Sorvasranta;628871;6846654;Punkaharju;907;19610112;1961;01;12;3625000;6845000;-2.7;-0.1;-6;0;296;4.9
Sorvasranta;628871;6846654;Punkaharju;907;19610113;1961;01;13;3625000;6845000;-3.4;-1;-7.7;6;330;4.55
Sorvasranta;628871;6846654;Punkaharju;907;19610114;1961;01;14;3625000;6845000;-2;-1.3;-3.1;0;301;4.94
Sorvasranta;628871;6846654;Punkaharju;907;19610115;1961;01;15;3625000;6845000;-3.1;-0.3;-2.6;4;376;4.84
Sorvasranta;628871;6846654;Punkaharju;907;19610116;1961;01;16;3625000;6845000;-11.7;-1.7;-15.5;0;603;2.19
Sorvasranta;628871;6846654;Punkaharju;907;19610117;1961;01;17;3625000;6845000;-19.4;-15.2;-26.3;0;587;0.91
Sorvasranta;628871;6846654;Punkaharju;907;19610118;1961;01;18;3625000;6845000;-11.7;-6.6;-27;0;360;2.23
Sorvasranta;628871;6846654;Punkaharju;907;19610119;1961;01;19;3625000;6845000;-6.1;-5;-7.1;0;358;3.81
Sorvasranta;628871;6846654;Punkaharju;907;19610120;1961;01;20;3625000;6845000;-5.7;-5.1;-6.3;0;480;3.9
Sorvasranta;628871;6846654;Punkaharju;907;19610121;1961;01;21;3625000;6845000;-8.4;-5.4;-10.1;0;439;3.1
Sorvasranta;628871;6846654;Punkaharju;907;19610122;1961;01;22;3625000;6845000;-15.8;-8.8;-23.1;0;742;1.57
Sorvasranta;628871;6846654;Punkaharju;907;19610123;1961;01;23;3625000;6845000;-10.7;-7.4;-18.9;0;668;2.77
Sorvasranta;628871;6846654;Punkaharju;907;19610124;1961;01;24;3625000;6845000;-13.5;-8.2;-16.5;0;798;1.66
Sorvasranta;628871;6846654;Punkaharju;907;19610125;1961;01;25;3625000;6845000;-12.9;-10.7;-17.8;0;588;2.03
Sorvasranta;628871;6846654;Punkaharju;907;19610126;1961;01;26;3625000;6845000;-8.6;-7.7;-11.4;0;673;2.65
Sorvasranta;628871;6846654;Punkaharju;907;19610127;1961;01;27;3625000;6845000;-5.4;-3.8;-8.4;1;642;3.75
Sorvasranta;628871;6846654;Punkaharju;907;19610128;1961;01;28;3625000;6845000;-3.2;-0.8;-5.7;2;537;4.61
Sorvasranta;628871;6846654;Punkaharju;907;19610129;1961;01;29;3625000;6845000;-1;-0.6;-3;1;575;4.88
Sorvasranta;628871;6846654;Punkaharju;907;19610130;1961;01;30;3625000;6845000;0.5;1.6;-2;10;556;6.24
Sorvasranta;628871;6846654;Punkaharju;907;19610131;1961;01;31;3625000;6845000;-0.5;1.4;-2.6;1;533;5.73
Sorvasranta;628871;6846654;Punkaharju;907;19610201;1961;02;01;3625000;6845000;-5.7;-2.2;-6.8;2;547;3.63
Sorvasranta;628871;6846654;Punkaharju;907;19610202;1961;02;02;3625000;6845000;-3;-0.6;-6.8;2;758;4.72
Sorvasranta;628871;6846654;Punkaharju;907;19610203;1961;02;03;3625000;6845000;-0.7;0.2;-1;1;589;5.84
Sorvasranta;628871;6846654;Punkaharju;907;19610204;1961;02;04;3625000;6845000;-2.3;-0.4;-3.8;10;821;5
Sorvasranta;628871;6846654;Punkaharju;907;19610205;1961;02;05;3625000;6845000;-6.4;-3.2;-6.8;1;826;3.5
Sorvasranta;628871;6846654;Punkaharju;907;19610206;1961;02;06;3625000;6845000;-10.5;-6.4;-16.8;0;1618;1.99
Sorvasranta;628871;6846654;Punkaharju;907;19610207;1961;02;07;3625000;6845000;-5.4;-2.8;-14.2;0;660;3.82
Sorvasranta;628871;6846654;Punkaharju;907;19610208;1961;02;08;3625000;6845000;-2.3;-0.2;-4.5;1;725;4.78
Sorvasranta;628871;6846654;Punkaharju;907;19610209;1961;02;09;3625000;6845000;-2.2;0.1;-3.6;2;1567;4.48
Sorvasranta;628871;6846654;Punkaharju;907;19610210;1961;02;10;3625000;6845000;-5.7;-3.1;-6.9;0;1449;3.1
Sorvasranta;628871;6846654;Punkaharju;907;19610211;1961;02;11;3625000;6845000;-3.9;-0.2;-11;1;769;4.28
Sorvasranta;628871;6846654;Punkaharju;907;19610212;1961;02;12;3625000;6845000;-0.4;0.5;-0.8;0;640;5.89
Sorvasranta;628871;6846654;Punkaharju;907;19610213;1961;02;13;3625000;6845000;-4.5;-0.2;-9.8;0;1470;3.72
Sorvasranta;628871;6846654;Punkaharju;907;19610214;1961;02;14;3625000;6845000;-2.8;0.8;-15.5;4;909;4.68
Sorvasranta;628871;6846654;Punkaharju;907;19610215;1961;02;15;3625000;6845000;-0.3;2.8;-1.9;0;1751;5.15
Sorvasranta;628871;6846654;Punkaharju;907;19610216;1961;02;16;3625000;6845000;-2.8;-0.4;-9.6;0;1107;4.1
